"species","pop","GSD","GAD","ASD"
"Ari","Ari.5",6.96,6.33,7.8
"Ari","Ari.5",6.35,5.54,9.06
"Ari","Ari.5",5.21,4.83,6.47
"Ari","Ari.5",5.13,5.46,5.36
"Ari","Ari.6",6,7,8.7
"Ari","Ari.7",7.38,8.41,7.99
"Ari","Ari.7",5.93,7.45,5.57
"Ari","Ari.7",7.25,7.83,8.51
"Ari","Ari.7",5.96,7.62,5.12
"Ari","Ari.7",7.67,4.85,7.91
"Ari","Ari.7",7.42,5.38,6.41
"Ari","Ari.7",6.66,4.33,5.44
"Ari","Ari.7",6.85,NA,NA
"Ari","Ari.8",5.48,8.84,6.77
"Ari","Ari.8",4.23,7.72,5.45
"Ari","Ari.8",4.45,7.77,6.61
"Ari","Ari.8",5.67,6.47,4.79
"Ari","Ari.8",3.76,5.15,4.85
"Ari","Ari.8",6.8,7.51,4.49
"Ari","Ari.8",4.32,5.29,6.34
"Ari","Ari.8",3.7,7.54,7.63
"Alb","Alb.1",7.67,4.46,4.45
"Alb","Alb.1",9.52,3.92,4.42
"Alb","Alb.1",NA,6.38,NA
"Alb","Alb.1",8.95,4.94,5.14
"Alb","Alb.1",10.08,3.38,7.61
"Alb","Alb.1",6.81,4.11,4.62
"Alb","Alb.1",7.56,3.33,4.6
"Alb","Alb.1",7.45,3.32,2.92
"Alb","Alb.1",7.58,4.32,2.67
"Alb","Alb.1",7.34,4.02,6.13
