"species","pop","patch","GSD","GAD","ASD"
"S","S28","D",6.11,6.31,6.26
"S","S28","D",5.94,6.12,4.88
"S","S28","F",5.41,3.27,3.88
"S","S28","F",6.71,4.73,4.76
"S","S28","G",4.35,5.93,4.07
"S","S28","G",4.8,5.62,5.79
"S","S28","K",4.69,5.97,7.28
"S","S8","10",5.44,5.76,5.41
"S","S8","10",5.58,5.49,5.72
"S","S8","30",4.85,5.49,4.06
"S","S8","29",4.85,5.76,2.92
"S","S9","1",4.87,4.29,2.05
"S","S9","2",4.74,4.52,3.89
"S","S9","2",5.62,5.73,2.44
"S","S9","5",4.75,5.26,3.52
"S","S9","B",5.39,5.35,3.25
"S","S9","B",4.68,4.75,4.32
"S","S29","3",4.41,2.73,2.92
"S","S29","5",4.52,3.45,4.77
"S","S29","5",5.07,3.24,4.22
"S","S29","5",4.18,3.42,2.77
"S","S6","A",6.37,3.07,2.92
"S","S6","A",5.79,3.42,2.68
"S","S6","A",6.08,3.44,3.25
"O","O6","10",7.99,3.74,0.49
"O","O6","A",8.14,5.93,1.17
"O","O6","A",11.65,4.04,4.39
"O","O6","A",5.92,3.56,1.02
"O","O6","B",11.48,5.19,2.05
"O","O6","C",8.27,5.35,0.3
"D","D4","22",5.98,8.69,7.53
"O","O5","1",7.98,4.5,1.9
"O","O5","5",4.32,5.74,4.71
"O","O5","5",3.95,4.5,5.18
"O","O5","5",3.5,4.51,7.82
"O","O5","12",6.08,4.91,7.72
"W","W11","3",9.83,6,1.65
"W","W11","1",7.48,5.02,2.64
"W","W11","2",8.19,5.82,4.61
"W","W11","2",7.77,5.5,2.65
"W","W11","10",7.95,4.59,5.56
"W","W11","8",9.1,5.99,3.7
"W","W11","8",6.84,4.89,0.91
"W","W11","8",9.62,4.24,2.44
"W","W11","8",8.79,5.27,1.73
"W","W11","7",9.37,6.1,3.63
"W","W11","5",8.39,4.47,1.65
"H","H6","1",4.92,4.94,1.49
"H","H6","1",4.22,3.43,1.86
"H","H6e","1",4.15,4.07,1.06
"O","O1","1",6.49,4.67,2.58
"O","O1","2",8.68,4.85,1.04
"D","D6","1",6.34,9.27,6.15
"D","D6","1",3.78,9.58,9.48
"D","D6","1",5.86,9.57,8.73
"D","D6","1",6.96,8.73,7.54
